id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_hospital_patient_doctor,access.hospital.patient.doctor,hospital_management.model_hospital_patient,group_hospital_doctor,1,1,1,0
hospital_management.access_hospital_patient_user,access.hospital.patient.user,hospital_management.model_hospital_patient,hospital_management.group_hospital_user,1,1,1,0

access_hospital_doctor_doctor,access.hospital.doctor.doctor,model_hospital_doctor,group_hospital_doctor,1,1,0,0
access_hospital_doctor_user,access.hospital.doctor.user,model_hospital_doctor,hospital_management.group_hospital_user,1,1,1,0

access_hospital_doctor_admin,access.hospital.doctor.admin,model_hospital_doctor,hospital_management.group_hospital_admin,1,1,1,1

access_hospital_management_sub_facility_admin,access.hospital_management_sub_facility.admin,model_hospital_management_sub_facility,hospital_management.group_hospital_admin,1,1,1,1
access_hospital_management_sub_facility_user,access.hospital_management_sub_facility.user,model_hospital_management_sub_facility,hospital_management.group_hospital_user,1,1,0,0
access_hospital_management_sub_facility2_admin,access.hospital_management_sub_facility2.admin,model_hospital_management_sub_facility2,hospital_management.group_hospital_admin,1,1,1,1
access_hospital_management_sub_facility2_user,access.hospital_management_sub_facility2.user,model_hospital_management_sub_facility2,hospital_management.group_hospital_user,1,1,0,0
